call,call_location,call_feat_type,call_encapsule,call_encapsule_location,call_encapsule_feat_type,call_encapsule_file_class,callee,callee_location,callee_file_class,callee_feat_type
 super(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:29:14:29:24         , SuperConstructorInvocationStmt , NamedEntity                           , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:29:14:29:24         , Constructor , NamedEntity        , BaseEntity                     , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:33:14:33:23          , BaseEntity         , Constructor 
 getName(...)                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:44:10:44:23         , MethodCall                     , toString                              , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:43:16:43:23         , Method      , NamedEntity        , getName                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/NamedEntity.java:34:16:34:22         , NamedEntity        , Method      
 super(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:28:14:28:19              , SuperConstructorInvocationStmt , Person                                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:28:14:28:19              , Constructor , Person             , BaseEntity                     , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:33:14:33:23          , BaseEntity         , Constructor 
 super(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , SuperConstructorInvocationStmt , Owner                                 , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , Constructor , Owner              , Person                         , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/Person.java:28:14:28:19              , Person             , Constructor 
 <obinit>(...)                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , MethodCall                     , Owner                                 , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , Constructor , Owner              , <obinit>                       , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:47:14:47:18               , Owner              , Method      
 isNew(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:96:7:96:17                , MethodCall                     , addPet                                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:95:14:95:19               , Method      , Owner              , isNew                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:47:17:47:21          , BaseEntity         , Method      
 getPets(...)                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:97:4:97:12                , MethodCall                     , addPet                                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:95:14:95:19               , Method      , Owner              , getPets                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:91:19:91:25               , Owner              , Method      
 getPet(...)                         , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:107:10:107:28             , MethodCall                     , getPet                                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:106:13:106:18             , Method      , Owner              , getPet                         , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:132:13:132:18             , Owner              , Method      
 getPets(...)                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:116:18:116:26             , MethodCall                     , getPet                                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:115:13:115:18             , Method      , Owner              , getPets                        , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:91:19:91:25               , Owner              , Method      
 isNew(...)                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:117:9:117:19              , MethodCall                     , getPet                                , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/owner/Owner.java:115:13:115:18             , Method      , Owner              , isNew                          , file:///home/poorna/capstone/rag-refactor/ragRefactor/sample_dbs/code_ql/spring-petclinic/src/main/java/org/springframework/samples/petclinic/model/BaseEntity.java:47:17:47:21          , BaseEntity         , Method      
